n,obj_coef,Method,Constraint,rel_risk
100,0,"StochOptForest
(apx-soln)",yes,1.4778434044902014
100,0,"StochOptForest
(apx-soln)",yes,1.4248252377146209
100,0,"StochOptForest
(apx-soln)",yes,1.420494938847335
100,0,"StochOptForest
(apx-soln)",yes,1.446127727382134
100,0,"StochOptForest
(apx-soln)",yes,1.4466212177968394
100,0,"StochOptForest
(apx-soln)",yes,1.3712133461631888
100,0,"StochOptForest
(apx-soln)",yes,1.590201209877877
100,0,"StochOptForest
(apx-soln)",yes,1.4467476851059942
100,0,"StochOptForest
(apx-soln)",yes,1.398705068701163
100,0,"StochOptForest
(apx-soln)",yes,1.5207252999310659
100,0,"StochOptForest
(apx-soln)",yes,1.417870705590191
100,0,"StochOptForest
(apx-soln)",yes,1.5066628316545718
100,0,"StochOptForest
(apx-soln)",yes,1.5463784253381054
100,0,"StochOptForest
(apx-soln)",yes,1.6412245760706585
100,0,"StochOptForest
(apx-soln)",yes,1.4263250213063527
100,0,"StochOptForest
(apx-soln)",yes,1.5506928071157529
100,0,"StochOptForest
(apx-soln)",yes,1.4659245387703406
100,0,"StochOptForest
(apx-soln)",yes,1.5695282764775251
100,0,"StochOptForest
(apx-soln)",yes,1.480329641958004
100,0,"StochOptForest
(apx-soln)",yes,1.4768181722365274
100,0,"StochOptForest
(apx-soln)",yes,1.4728399598398172
100,0,"StochOptForest
(apx-soln)",yes,1.5058729586966442
100,0,"StochOptForest
(apx-soln)",yes,1.5558360788967411
100,0,"StochOptForest
(apx-soln)",yes,1.5530960479046048
100,0,"StochOptForest
(apx-soln)",yes,1.4748639272498116
100,0,"StochOptForest
(apx-soln)",yes,1.415589720170912
100,0,"StochOptForest
(apx-soln)",yes,1.5347076128195734
100,0,"StochOptForest
(apx-soln)",yes,1.600862697639984
100,0,"StochOptForest
(apx-soln)",yes,1.6510979085099964
100,0,"StochOptForest
(apx-soln)",yes,1.509087823491786
100,0,"StochOptForest
(apx-soln)",yes,1.490919301504154
100,0,"StochOptForest
(apx-soln)",yes,1.6526189190282454
100,0,"StochOptForest
(apx-soln)",yes,1.443401567659216
100,0,"StochOptForest
(apx-soln)",yes,1.5103105861358819
100,0,"StochOptForest
(apx-soln)",yes,1.5888539668204273
100,0,"StochOptForest
(apx-soln)",yes,1.5425159446417387
100,0,"StochOptForest
(apx-soln)",yes,1.4509309860847115
100,0,"StochOptForest
(apx-soln)",yes,1.4297603223904678
100,0,"StochOptForest
(apx-soln)",yes,1.4513749161887908
100,0,"StochOptForest
(apx-soln)",yes,1.588185495448686
100,0,"StochOptForest
(apx-soln)",yes,1.5166101015892948
100,0,"StochOptForest
(apx-soln)",yes,1.5403719342008384
100,0,"StochOptForest
(apx-soln)",yes,1.4405976769677165
100,0,"StochOptForest
(apx-soln)",yes,1.580403269089715
100,0,"StochOptForest
(apx-soln)",yes,1.4547211884082427
100,0,"StochOptForest
(apx-soln)",yes,1.5676663004401366
100,0,"StochOptForest
(apx-soln)",yes,1.528494645239435
100,0,"StochOptForest
(apx-soln)",yes,1.50097499614418
100,0,"StochOptForest
(apx-soln)",yes,1.5797282404861541
100,0,"StochOptForest
(apx-soln)",yes,1.5382139205318328
100,0,"StochOptForest
(apx-soln)",no,1.476204284324609
100,0,"StochOptForest
(apx-soln)",no,1.4120582773208796
100,0,"StochOptForest
(apx-soln)",no,1.4112090305989045
100,0,"StochOptForest
(apx-soln)",no,1.447182472198458
100,0,"StochOptForest
(apx-soln)",no,1.4557327518620495
100,0,"StochOptForest
(apx-soln)",no,1.3972597472139066
100,0,"StochOptForest
(apx-soln)",no,1.576358445454135
100,0,"StochOptForest
(apx-soln)",no,1.4858556910120544
100,0,"StochOptForest
(apx-soln)",no,1.4540668992879233
100,0,"StochOptForest
(apx-soln)",no,1.473161552838077
100,0,"StochOptForest
(apx-soln)",no,1.4330403465667751
100,0,"StochOptForest
(apx-soln)",no,1.457231057880078
100,0,"StochOptForest
(apx-soln)",no,1.5913629542638017
100,0,"StochOptForest
(apx-soln)",no,1.709969061811916
100,0,"StochOptForest
(apx-soln)",no,1.4436431181029354
100,0,"StochOptForest
(apx-soln)",no,1.534773836245497
100,0,"StochOptForest
(apx-soln)",no,1.4692066001269335
100,0,"StochOptForest
(apx-soln)",no,1.6407441000591665
100,0,"StochOptForest
(apx-soln)",no,1.5152132143637291
100,0,"StochOptForest
(apx-soln)",no,1.5182403654967358
100,0,"StochOptForest
(apx-soln)",no,1.5151875564617474
100,0,"StochOptForest
(apx-soln)",no,1.49332595147661
100,0,"StochOptForest
(apx-soln)",no,1.5900069185504868
100,0,"StochOptForest
(apx-soln)",no,1.5515928106390724
100,0,"StochOptForest
(apx-soln)",no,1.4297585345931643
100,0,"StochOptForest
(apx-soln)",no,1.410035946528016
100,0,"StochOptForest
(apx-soln)",no,1.5463851498118482
100,0,"StochOptForest
(apx-soln)",no,1.58296106695228
100,0,"StochOptForest
(apx-soln)",no,1.684641764859309
100,0,"StochOptForest
(apx-soln)",no,1.4971186812883979
100,0,"StochOptForest
(apx-soln)",no,1.4934853695372496
100,0,"StochOptForest
(apx-soln)",no,1.605167581484709
100,0,"StochOptForest
(apx-soln)",no,1.4260923247356145
100,0,"StochOptForest
(apx-soln)",no,1.4720885300507969
100,0,"StochOptForest
(apx-soln)",no,1.6125123853652814
100,0,"StochOptForest
(apx-soln)",no,1.5339856901588442
100,0,"StochOptForest
(apx-soln)",no,1.5038791798955822
100,0,"StochOptForest
(apx-soln)",no,1.40801947032173
100,0,"StochOptForest
(apx-soln)",no,1.4800232552225712
100,0,"StochOptForest
(apx-soln)",no,1.5866538303274498
100,0,"StochOptForest
(apx-soln)",no,1.5668219470753586
100,0,"StochOptForest
(apx-soln)",no,1.5441102013888652
100,0,"StochOptForest
(apx-soln)",no,1.4317994921390151
100,0,"StochOptForest
(apx-soln)",no,1.6427556913332981
100,0,"StochOptForest
(apx-soln)",no,1.446243924697381
100,0,"StochOptForest
(apx-soln)",no,1.5956612684583595
100,0,"StochOptForest
(apx-soln)",no,1.6272488549529631
100,0,"StochOptForest
(apx-soln)",no,1.5516027190927604
100,0,"StochOptForest
(apx-soln)",no,1.5752677990491755
100,0,"StochOptForest
(apx-soln)",no,1.4971752243830525
100,0,"StochOptForest
(apx-risk)",yes,1.4630935082228727
100,0,"StochOptForest
(apx-risk)",yes,1.4090144941429736
100,0,"StochOptForest
(apx-risk)",yes,1.4034824721242147
100,0,"StochOptForest
(apx-risk)",yes,1.4509950502282791
100,0,"StochOptForest
(apx-risk)",yes,1.4444965146225526
100,0,"StochOptForest
(apx-risk)",yes,1.4423554090294126
100,0,"StochOptForest
(apx-risk)",yes,1.6007581475526034
100,0,"StochOptForest
(apx-risk)",yes,1.4299309782236962
100,0,"StochOptForest
(apx-risk)",yes,1.4566356665258364
100,0,"StochOptForest
(apx-risk)",yes,1.5216410750366423
100,0,"StochOptForest
(apx-risk)",yes,1.4416825202349801
100,0,"StochOptForest
(apx-risk)",yes,1.4913341488802054
100,0,"StochOptForest
(apx-risk)",yes,1.587905367571421
100,0,"StochOptForest
(apx-risk)",yes,1.6521752209181675
100,0,"StochOptForest
(apx-risk)",yes,1.4469699480072962
100,0,"StochOptForest
(apx-risk)",yes,1.5438997951059785
100,0,"StochOptForest
(apx-risk)",yes,1.4502765512368905
100,0,"StochOptForest
(apx-risk)",yes,1.5072296080378733
100,0,"StochOptForest
(apx-risk)",yes,1.4555008247641135
100,0,"StochOptForest
(apx-risk)",yes,1.5659008153003857
100,0,"StochOptForest
(apx-risk)",yes,1.451076417819058
100,0,"StochOptForest
(apx-risk)",yes,1.512919304001146
100,0,"StochOptForest
(apx-risk)",yes,1.4912672681923476
100,0,"StochOptForest
(apx-risk)",yes,1.5407389617754654
100,0,"StochOptForest
(apx-risk)",yes,1.4396534372818381
100,0,"StochOptForest
(apx-risk)",yes,1.3960300895654276
100,0,"StochOptForest
(apx-risk)",yes,1.5382048823721883
100,0,"StochOptForest
(apx-risk)",yes,1.5775035775135513
100,0,"StochOptForest
(apx-risk)",yes,1.6434269407437228
100,0,"StochOptForest
(apx-risk)",yes,1.4993290908400265
100,0,"StochOptForest
(apx-risk)",yes,1.4824605614514546
100,0,"StochOptForest
(apx-risk)",yes,1.6262249703435951
100,0,"StochOptForest
(apx-risk)",yes,1.433443543503821
100,0,"StochOptForest
(apx-risk)",yes,1.5121190089378302
100,0,"StochOptForest
(apx-risk)",yes,1.6455877939807104
100,0,"StochOptForest
(apx-risk)",yes,1.4704006142732426
