n,R,Method,Constraint,abs_risk
100,0.1,"StochOptForest
(apx-soln)",yes,5.107876923639398
100,0.1,"StochOptForest
(apx-soln)",yes,3.8209284231659164
100,0.1,"StochOptForest
(apx-soln)",yes,3.7209726778340557
100,0.1,"StochOptForest
(apx-soln)",yes,4.259200003176015
100,0.1,"StochOptForest
(apx-soln)",yes,3.9727767042695787
100,0.1,"StochOptForest
(apx-soln)",yes,4.071879580576566
100,0.1,"StochOptForest
(apx-soln)",yes,4.604904148986741
100,0.1,"StochOptForest
(apx-soln)",yes,4.053970456639673
100,0.1,"StochOptForest
(apx-soln)",yes,2.2826376490718077
100,0.1,"StochOptForest
(apx-soln)",yes,3.4792062627270615
100,0.1,"StochOptForest
(apx-soln)",yes,4.135517764934845
100,0.1,"StochOptForest
(apx-soln)",yes,6.615793924366633
100,0.1,"StochOptForest
(apx-soln)",yes,4.458704553735037
100,0.1,"StochOptForest
(apx-soln)",yes,4.794397427662638
100,0.1,"StochOptForest
(apx-soln)",yes,5.952338661245759
100,0.1,"StochOptForest
(apx-soln)",yes,4.176270362987831
100,0.1,"StochOptForest
(apx-soln)",yes,4.615527545358158
100,0.1,"StochOptForest
(apx-soln)",yes,3.344396373651159
100,0.1,"StochOptForest
(apx-soln)",yes,3.0251174755803283
100,0.1,"StochOptForest
(apx-soln)",yes,3.727908512525033
100,0.1,"StochOptForest
(apx-soln)",yes,4.623997311834323
100,0.1,"StochOptForest
(apx-soln)",yes,4.1083562211787195
100,0.1,"StochOptForest
(apx-soln)",yes,4.0315660079329305
100,0.1,"StochOptForest
(apx-soln)",yes,8.205455098931338
100,0.1,"StochOptForest
(apx-soln)",yes,6.184353369365657
100,0.1,"StochOptForest
(apx-soln)",yes,3.575479082807103
100,0.1,"StochOptForest
(apx-soln)",yes,3.296154255693027
100,0.1,"StochOptForest
(apx-soln)",yes,4.165065923888117
100,0.1,"StochOptForest
(apx-soln)",yes,3.087484079749499
100,0.1,"StochOptForest
(apx-soln)",yes,4.694035783536682
100,0.1,"StochOptForest
(apx-soln)",yes,4.52326245131497
100,0.1,"StochOptForest
(apx-soln)",yes,3.9380752996780486
100,0.1,"StochOptForest
(apx-soln)",yes,4.5299255822670155
100,0.1,"StochOptForest
(apx-soln)",yes,4.495244853459355
100,0.1,"StochOptForest
(apx-soln)",yes,3.8564243347905993
100,0.1,"StochOptForest
(apx-soln)",yes,2.8197387783305703
100,0.1,"StochOptForest
(apx-soln)",yes,4.3284158304328875
100,0.1,"StochOptForest
(apx-soln)",yes,3.4253093659407288
100,0.1,"StochOptForest
(apx-soln)",yes,3.0964086503166226
100,0.1,"StochOptForest
(apx-soln)",yes,3.2306532114093343
100,0.1,"StochOptForest
(apx-soln)",yes,5.200319304617988
100,0.1,"StochOptForest
(apx-soln)",yes,2.7339161606431643
100,0.1,"StochOptForest
(apx-soln)",yes,4.642619453735743
100,0.1,"StochOptForest
(apx-soln)",yes,5.040542191644624
100,0.1,"StochOptForest
(apx-soln)",yes,3.6206462586246007
100,0.1,"StochOptForest
(apx-soln)",yes,4.072717414148014
100,0.1,"StochOptForest
(apx-soln)",yes,5.836554355736719
100,0.1,"StochOptForest
(apx-soln)",yes,5.071395822307808
100,0.1,"StochOptForest
(apx-soln)",yes,5.110685721742978
100,0.1,"StochOptForest
(apx-soln)",yes,4.345713886112634
100,0.1,"StochOptForest
(apx-soln)",no,5.085671225759423
100,0.1,"StochOptForest
(apx-soln)",no,4.840854726875131
100,0.1,"StochOptForest
(apx-soln)",no,4.606627820633715
100,0.1,"StochOptForest
(apx-soln)",no,5.90446163416652
100,0.1,"StochOptForest
(apx-soln)",no,5.011138345977472
100,0.1,"StochOptForest
(apx-soln)",no,4.67360554050013
100,0.1,"StochOptForest
(apx-soln)",no,5.500575349813744
100,0.1,"StochOptForest
(apx-soln)",no,5.093865293975878
100,0.1,"StochOptForest
(apx-soln)",no,4.677360372191104
100,0.1,"StochOptForest
(apx-soln)",no,4.542146754366971
100,0.1,"StochOptForest
(apx-soln)",no,4.990481012095147
100,0.1,"StochOptForest
(apx-soln)",no,6.806931280503656
100,0.1,"StochOptForest
(apx-soln)",no,5.060451097780608
100,0.1,"StochOptForest
(apx-soln)",no,4.954688610894338
100,0.1,"StochOptForest
(apx-soln)",no,5.756935802603169
100,0.1,"StochOptForest
(apx-soln)",no,5.178532788516054
100,0.1,"StochOptForest
(apx-soln)",no,4.980942941251235
100,0.1,"StochOptForest
(apx-soln)",no,4.804067350037561
100,0.1,"StochOptForest
(apx-soln)",no,4.74076922537052
100,0.1,"StochOptForest
(apx-soln)",no,4.853374358683628
100,0.1,"StochOptForest
(apx-soln)",no,4.799932182728233
100,0.1,"StochOptForest
(apx-soln)",no,5.088084231502105
100,0.1,"StochOptForest
(apx-soln)",no,4.6941493917434
100,0.1,"StochOptForest
(apx-soln)",no,4.867374889646272
100,0.1,"StochOptForest
(apx-soln)",no,4.955163176218724
100,0.1,"StochOptForest
(apx-soln)",no,4.631342753575462
100,0.1,"StochOptForest
(apx-soln)",no,4.734641539177326
100,0.1,"StochOptForest
(apx-soln)",no,5.2537201753503595
100,0.1,"StochOptForest
(apx-soln)",no,5.11458540049446
100,0.1,"StochOptForest
(apx-soln)",no,4.833815205575136
100,0.1,"StochOptForest
(apx-soln)",no,4.6225546372116995
100,0.1,"StochOptForest
(apx-soln)",no,6.240444023814167
100,0.1,"StochOptForest
(apx-soln)",no,5.047362506194622
100,0.1,"StochOptForest
(apx-soln)",no,4.928511482676083
100,0.1,"StochOptForest
(apx-soln)",no,4.675144254498119
100,0.1,"StochOptForest
(apx-soln)",no,4.803448865191952
100,0.1,"StochOptForest
(apx-soln)",no,5.549881182988219
100,0.1,"StochOptForest
(apx-soln)",no,5.030337414520176
100,0.1,"StochOptForest
(apx-soln)",no,4.720631416296291
100,0.1,"StochOptForest
(apx-soln)",no,5.217423733039822
100,0.1,"StochOptForest
(apx-soln)",no,5.181677826227602
100,0.1,"StochOptForest
(apx-soln)",no,5.144522759861574
100,0.1,"StochOptForest
(apx-soln)",no,5.0204260927769475
100,0.1,"StochOptForest
(apx-soln)",no,5.052812082242821
100,0.1,"StochOptForest
(apx-soln)",no,4.730368964325269
100,0.1,"StochOptForest
(apx-soln)",no,5.116873658226552
100,0.1,"StochOptForest
(apx-soln)",no,5.018521416529277
100,0.1,"StochOptForest
(apx-soln)",no,5.548008350346953
100,0.1,"StochOptForest
(apx-soln)",no,6.122789799327616
100,0.1,"StochOptForest
(apx-soln)",no,4.5841887927538885
100,0.1,"StochOptForest
(apx-risk)",yes,4.303235173579068
100,0.1,"StochOptForest
(apx-risk)",yes,3.589659761727342
100,0.1,"StochOptForest
(apx-risk)",yes,3.46929688636334
100,0.1,"StochOptForest
(apx-risk)",yes,3.9044638036253065
100,0.1,"StochOptForest
(apx-risk)",yes,3.847328108144667
