n,R,Method,Constraint,violation
100,0.1,"StochOptForest
(apx-soln)",yes,0.01029815235055788
100,0.1,"StochOptForest
(apx-soln)",yes,0.15623682027326094
100,0.1,"StochOptForest
(apx-soln)",yes,0.16924658607292717
100,0.1,"StochOptForest
(apx-soln)",yes,0.10931994628183832
100,0.1,"StochOptForest
(apx-soln)",yes,0.09266948009452458
100,0.1,"StochOptForest
(apx-soln)",yes,0.1561272298418818
100,0.1,"StochOptForest
(apx-soln)",yes,0.15039908201753235
100,0.1,"StochOptForest
(apx-soln)",yes,0.07546046105237807
100,0.1,"StochOptForest
(apx-soln)",yes,0.10080424409019097
100,0.1,"StochOptForest
(apx-soln)",yes,0.1709305917935275
100,0.1,"StochOptForest
(apx-soln)",yes,0.13001670565306556
100,0.1,"StochOptForest
(apx-soln)",yes,0.1268091669227316
100,0.1,"StochOptForest
(apx-soln)",yes,0.056547735900580404
100,0.1,"StochOptForest
(apx-soln)",yes,0.0612489235097018
100,0.1,"StochOptForest
(apx-soln)",yes,0.07747751109708352
100,0.1,"StochOptForest
(apx-soln)",yes,0.0722001326581458
100,0.1,"StochOptForest
(apx-soln)",yes,0.022323457872631916
100,0.1,"StochOptForest
(apx-soln)",yes,0.19023399401063146
100,0.1,"StochOptForest
(apx-soln)",yes,0.12092892618325918
100,0.1,"StochOptForest
(apx-soln)",yes,0.08791635395200101
100,0.1,"StochOptForest
(apx-soln)",yes,0.03715334641152354
100,0.1,"StochOptForest
(apx-soln)",yes,0.08055637957875195
100,0.1,"StochOptForest
(apx-soln)",yes,0.026725669614231493
100,0.1,"StochOptForest
(apx-soln)",yes,0.018310591320666102
100,0.1,"StochOptForest
(apx-soln)",yes,0.0028838454953060964
100,0.1,"StochOptForest
(apx-soln)",yes,0.1285731530820945
100,0.1,"StochOptForest
(apx-soln)",yes,0.11999319853679052
100,0.1,"StochOptForest
(apx-soln)",yes,0.051146721842571116
100,0.1,"StochOptForest
(apx-soln)",yes,0.076941311599015
100,0.1,"StochOptForest
(apx-soln)",yes,0.044967456176963044
100,0.1,"StochOptForest
(apx-soln)",yes,0.022020734503903853
100,0.1,"StochOptForest
(apx-soln)",yes,0.061271096994348954
100,0.1,"StochOptForest
(apx-soln)",yes,0.12307467973869134
100,0.1,"StochOptForest
(apx-soln)",yes,0.09272845747638071
100,0.1,"StochOptForest
(apx-soln)",yes,0.1324986610955514
100,0.1,"StochOptForest
(apx-soln)",yes,0.08858704923822425
100,0.1,"StochOptForest
(apx-soln)",yes,0.15071577429729952
100,0.1,"StochOptForest
(apx-soln)",yes,0.07143473867752538
100,0.1,"StochOptForest
(apx-soln)",yes,0.09047443331310187
100,0.1,"StochOptForest
(apx-soln)",yes,0.18352650808373194
100,0.1,"StochOptForest
(apx-soln)",yes,0.24352881300757354
100,0.1,"StochOptForest
(apx-soln)",yes,0.10825505795620707
100,0.1,"StochOptForest
(apx-soln)",yes,0.08808491349523173
100,0.1,"StochOptForest
(apx-soln)",yes,0.14018742290256486
100,0.1,"StochOptForest
(apx-soln)",yes,0.12665896641164576
100,0.1,"StochOptForest
(apx-soln)",yes,0.06818518631547789
100,0.1,"StochOptForest
(apx-soln)",yes,0.0011252893923150398
100,0.1,"StochOptForest
(apx-soln)",yes,0.14434766078102035
100,0.1,"StochOptForest
(apx-soln)",yes,0.2537973164756492
100,0.1,"StochOptForest
(apx-soln)",yes,0.0753604787991446
100,0.1,"StochOptForest
(apx-soln)",no,0.06423261687048051
100,0.1,"StochOptForest
(apx-soln)",no,0.16577584440438278
100,0.1,"StochOptForest
(apx-soln)",no,0.13939279383638958
100,0.1,"StochOptForest
(apx-soln)",no,0.17128199760808216
100,0.1,"StochOptForest
(apx-soln)",no,0.09747263020313868
100,0.1,"StochOptForest
(apx-soln)",no,0.18359952255040046
100,0.1,"StochOptForest
(apx-soln)",no,0.18077823593052386
100,0.1,"StochOptForest
(apx-soln)",no,0.04182181216883424
100,0.1,"StochOptForest
(apx-soln)",no,0.12391690866429199
100,0.1,"StochOptForest
(apx-soln)",no,0.15184847673925073
100,0.1,"StochOptForest
(apx-soln)",no,0.1527170532023274
100,0.1,"StochOptForest
(apx-soln)",no,0.2010014262965463
100,0.1,"StochOptForest
(apx-soln)",no,0.07502392790686883
100,0.1,"StochOptForest
(apx-soln)",no,0.07678843344507373
100,0.1,"StochOptForest
(apx-soln)",no,0.050069530551659094
100,0.1,"StochOptForest
(apx-soln)",no,0.10429061833100248
100,0.1,"StochOptForest
(apx-soln)",no,0.12559014659387618
100,0.1,"StochOptForest
(apx-soln)",no,0.20905785027886695
100,0.1,"StochOptForest
(apx-soln)",no,0.11386893108251424
100,0.1,"StochOptForest
(apx-soln)",no,0.08867888799187373
100,0.1,"StochOptForest
(apx-soln)",no,0.09986906689998172
100,0.1,"StochOptForest
(apx-soln)",no,0.12945513260816374
100,0.1,"StochOptForest
(apx-soln)",no,0.0776934906448587
100,0.1,"StochOptForest
(apx-soln)",no,0.07777326863844072
100,0.1,"StochOptForest
(apx-soln)",no,0.03597265088874902
100,0.1,"StochOptForest
(apx-soln)",no,0.1288767102249003
100,0.1,"StochOptForest
(apx-soln)",no,0.15059601532448033
100,0.1,"StochOptForest
(apx-soln)",no,0.13473774006605624
100,0.1,"StochOptForest
(apx-soln)",no,0.06366090027645918
100,0.1,"StochOptForest
(apx-soln)",no,0.03536334356523013
100,0.1,"StochOptForest
(apx-soln)",no,0.1355589402101549
100,0.1,"StochOptForest
(apx-soln)",no,0.002805815546957542
100,0.1,"StochOptForest
(apx-soln)",no,0.1715629121700887
100,0.1,"StochOptForest
(apx-soln)",no,0.1332079204170942
100,0.1,"StochOptForest
(apx-soln)",no,0.13648573563308092
100,0.1,"StochOptForest
(apx-soln)",no,0.06198543190353315
100,0.1,"StochOptForest
(apx-soln)",no,0.06194260798800126
100,0.1,"StochOptForest
(apx-soln)",no,0.042927003737168505
100,0.1,"StochOptForest
(apx-soln)",no,0.058703056222294006
100,0.1,"StochOptForest
(apx-soln)",no,0.13805553010625013
100,0.1,"StochOptForest
(apx-soln)",no,0.2567675375732078
100,0.1,"StochOptForest
(apx-soln)",no,0.17791913157682818
100,0.1,"StochOptForest
(apx-soln)",no,0.17909792779017586
100,0.1,"StochOptForest
(apx-soln)",no,0.12706077465469087
100,0.1,"StochOptForest
(apx-soln)",no,0.1520219319683989
100,0.1,"StochOptForest
(apx-soln)",no,0.06712399360778798
100,0.1,"StochOptForest
(apx-soln)",no,0.1289199063600995
100,0.1,"StochOptForest
(apx-soln)",no,0.2771145619509724
100,0.1,"StochOptForest
(apx-soln)",no,0.35089902215538676
100,0.1,"StochOptForest
(apx-soln)",no,0.12705720234590898
100,0.1,"StochOptForest
(apx-risk)",yes,0.025397623325054845
100,0.1,"StochOptForest
(apx-risk)",yes,0.15398685540154802
100,0.1,"StochOptForest
(apx-risk)",yes,0.15531034200340807
100,0.1,"StochOptForest
(apx-risk)",yes,0.10243754445476128
100,0.1,"StochOptForest
(apx-risk)",yes,0.0861667444857952
100,0.1,"StochOptForest
(apx-risk)",yes,0.14930920104878054
100,0.1,"StochOptForest
(apx-risk)",yes,0.13596893110796915
100,0.1,"StochOptForest
(apx-risk)",yes,0.08327977869808022
100,0.1,"StochOptForest
(apx-risk)",yes,0.09600009894413272
100,0.1,"StochOptForest
(apx-risk)",yes,0.16832622445916637
100,0.1,"StochOptForest
(apx-risk)",yes,0.1638691055202602
100,0.1,"StochOptForest
(apx-risk)",yes,0.11491594579489614
100,0.1,"StochOptForest
(apx-risk)",yes,0.05224206163338903
100,0.1,"StochOptForest
(apx-risk)",yes,0.06094766983922697
100,0.1,"StochOptForest
(apx-risk)",yes,0.11382457436399245
100,0.1,"StochOptForest
(apx-risk)",yes,0.07893868832657064
100,0.1,"StochOptForest
(apx-risk)",yes,0.01980725476431443
100,0.1,"StochOptForest
(apx-risk)",yes,0.1867229263425129
100,0.1,"StochOptForest
(apx-risk)",yes,0.13934446421904387
100,0.1,"StochOptForest
(apx-risk)",yes,0.08307439549690754
100,0.1,"StochOptForest
(apx-risk)",yes,0.028844478846315014
100,0.1,"StochOptForest
(apx-risk)",yes,0.09600025093486572
100,0.1,"StochOptForest
(apx-risk)",yes,0.019029551726933283
100,0.1,"StochOptForest
(apx-risk)",yes,0.027625345231634502
100,0.1,"StochOptForest
(apx-risk)",yes,0.005577630187253303
100,0.1,"StochOptForest
(apx-risk)",yes,0.1324068822610199
100,0.1,"StochOptForest
(apx-risk)",yes,0.12253365693708236
100,0.1,"StochOptForest
(apx-risk)",yes,0.02575326115035527
100,0.1,"StochOptForest
(apx-risk)",yes,0.12350555421008698
100,0.1,"StochOptForest
(apx-risk)",yes,0.030802808484927
100,0.1,"StochOptForest
(apx-risk)",yes,0.030254897135356104
100,0.1,"StochOptForest
(apx-risk)",yes,0.07450699273488837
100,0.1,"StochOptForest
(apx-risk)",yes,0.12266699690310665
100,0.1,"StochOptForest
(apx-risk)",yes,0.07527517872852538
100,0.1,"StochOptForest
(apx-risk)",yes,0.12333621611926615
100,0.1,"StochOptForest
(apx-risk)",yes,0.08240936746236235
100,0.1,"StochOptForest
(apx-risk)",yes,0.14583196971563517
100,0.1,"StochOptForest
(apx-risk)",yes,0.06287051045551414
100,0.1,"StochOptForest
(apx-risk)",yes,0.10748741097312181
100,0.1,"StochOptForest
(apx-risk)",yes,0.1895705146577139
