Method,p,Constraint,freq
"StochOptForest
(apx-soln)",1,yes,0.16008930948810585
"StochOptForest
(apx-soln)",2,yes,0.16180655986024634
"StochOptForest
(apx-soln)",3,yes,0.08293402011763126
"StochOptForest
(apx-soln)",4,yes,0.08455006302336805
"StochOptForest
(apx-soln)",5,yes,0.08382737882667422
"StochOptForest
(apx-soln)",6,yes,0.08498404850601039
"StochOptForest
(apx-soln)",7,yes,0.084662975220717
"StochOptForest
(apx-soln)",8,yes,0.08566498808294735
"StochOptForest
(apx-soln)",9,yes,0.08626328028594937
"StochOptForest
(apx-soln)",10,yes,0.08521737658834982
"StochOptForest
(apx-soln)",1,no,0.055535287802693664
"StochOptForest
(apx-soln)",2,no,0.06887020407503536
"StochOptForest
(apx-soln)",3,no,0.10811661865388388
"StochOptForest
(apx-soln)",4,no,0.11019180953808441
"StochOptForest
(apx-soln)",5,no,0.10897989081618817
"StochOptForest
(apx-soln)",6,no,0.11046982914401075
"StochOptForest
(apx-soln)",7,no,0.10846362095839338
"StochOptForest
(apx-soln)",8,no,0.11007772291513994
"StochOptForest
(apx-soln)",9,no,0.10874458181127288
"StochOptForest
(apx-soln)",10,no,0.11055043428529744
"StochOptForest
(apx-risk)",1,yes,0.205404297638534
"StochOptForest
(apx-risk)",2,yes,0.153962062167819
"StochOptForest
(apx-risk)",3,yes,0.07897228828725339
"StochOptForest
(apx-risk)",4,yes,0.08065814140837514
"StochOptForest
(apx-risk)",5,yes,0.08171062554765675
"StochOptForest
(apx-risk)",6,yes,0.07910745481889928
"StochOptForest
(apx-risk)",7,yes,0.07928423482641392
"StochOptForest
(apx-risk)",8,yes,0.07983644607973989
"StochOptForest
(apx-risk)",9,yes,0.08123569250080165
"StochOptForest
(apx-risk)",10,yes,0.07982875672449573
"StochOptForest
(apx-risk)",1,no,0.1953180740061651
"StochOptForest
(apx-risk)",2,no,0.1522060561208297
"StochOptForest
(apx-risk)",3,no,0.08103201434233233
"StochOptForest
(apx-risk)",4,no,0.08262786746630738
"StochOptForest
(apx-risk)",5,no,0.08187220715904932
"StochOptForest
(apx-risk)",6,no,0.08105215546264809
"StochOptForest
(apx-risk)",7,no,0.08097295871596458
"StochOptForest
(apx-risk)",8,no,0.08123393589461146
"StochOptForest
(apx-risk)",9,no,0.08236413811668902
"StochOptForest
(apx-risk)",10,no,0.0813205927154015
RandSplitForest,1,no,0.1006445073129165
RandSplitForest,2,no,0.10011907316615122
RandSplitForest,3,no,0.10010564912442091
RandSplitForest,4,no,0.09988504522700925
RandSplitForest,5,no,0.09968353373882968
RandSplitForest,6,no,0.10019348469516787
RandSplitForest,7,no,0.09998553328418375
RandSplitForest,8,no,0.09956887812338103
RandSplitForest,9,no,0.10004401104912873
RandSplitForest,10,no,0.09977028427880144
RandForest,1,no,0.15577342363029792
RandForest,2,no,0.12034066690867187
RandForest,3,no,0.09138902904937528
RandForest,4,no,0.09010634885941378
RandForest,5,no,0.08975220222335727
RandForest,6,no,0.08959548282999183
RandForest,7,no,0.09111974518049552
RandForest,8,no,0.09059810686373292
RandForest,9,no,0.08945224358227528
RandForest,10,no,0.09187275087239088
