n,R,Method,Constraint,rel_risk
100,0.1,"StochOptForest
(apx-soln)",yes,1.512967504286196
100,0.1,"StochOptForest
(apx-soln)",yes,2.5839046794046787
100,0.1,"StochOptForest
(apx-soln)",yes,2.273082997054891
100,0.1,"StochOptForest
(apx-soln)",yes,3.0495788893004647
100,0.1,"StochOptForest
(apx-soln)",yes,2.2951258131277736
100,0.1,"StochOptForest
(apx-soln)",yes,2.6401580948587076
100,0.1,"StochOptForest
(apx-soln)",yes,3.235264433942852
100,0.1,"StochOptForest
(apx-soln)",yes,2.0779810000882906
100,0.1,"StochOptForest
(apx-soln)",yes,1.429620671985513
100,0.1,"StochOptForest
(apx-soln)",yes,2.6191651571277985
100,0.1,"StochOptForest
(apx-soln)",yes,2.066944067266831
100,0.1,"StochOptForest
(apx-soln)",yes,4.643533743826465
100,0.1,"StochOptForest
(apx-soln)",yes,2.018041435652994
100,0.1,"StochOptForest
(apx-soln)",yes,2.443816662268642
100,0.1,"StochOptForest
(apx-soln)",yes,1.4652363879840151
100,0.1,"StochOptForest
(apx-soln)",yes,2.1793830714256144
100,0.1,"StochOptForest
(apx-soln)",yes,2.0353704824116425
100,0.1,"StochOptForest
(apx-soln)",yes,2.4795362164409687
100,0.1,"StochOptForest
(apx-soln)",yes,2.227016354979071
100,0.1,"StochOptForest
(apx-soln)",yes,1.972740466546886
100,0.1,"StochOptForest
(apx-soln)",yes,1.7568016586092372
100,0.1,"StochOptForest
(apx-soln)",yes,2.3597900940225593
100,0.1,"StochOptForest
(apx-soln)",yes,1.4923365212118715
100,0.1,"StochOptForest
(apx-soln)",yes,1.767081458275127
100,0.1,"StochOptForest
(apx-soln)",yes,1.4029993933196099
100,0.1,"StochOptForest
(apx-soln)",yes,2.1722253661870083
100,0.1,"StochOptForest
(apx-soln)",yes,2.192113257055702
100,0.1,"StochOptForest
(apx-soln)",yes,1.88015753072427
100,0.1,"StochOptForest
(apx-soln)",yes,1.6763781300914364
100,0.1,"StochOptForest
(apx-soln)",yes,1.766161250364129
100,0.1,"StochOptForest
(apx-soln)",yes,1.8023595463960753
100,0.1,"StochOptForest
(apx-soln)",yes,1.7096917955461755
100,0.1,"StochOptForest
(apx-soln)",yes,2.16554716042942
100,0.1,"StochOptForest
(apx-soln)",yes,2.065363062024844
100,0.1,"StochOptForest
(apx-soln)",yes,2.441828746526397
100,0.1,"StochOptForest
(apx-soln)",yes,1.8802469246437936
100,0.1,"StochOptForest
(apx-soln)",yes,2.6133237356238816
100,0.1,"StochOptForest
(apx-soln)",yes,1.6075176696047646
100,0.1,"StochOptForest
(apx-soln)",yes,1.6893684132841478
100,0.1,"StochOptForest
(apx-soln)",yes,2.061818327823097
100,0.1,"StochOptForest
(apx-soln)",yes,3.7573233438646105
100,0.1,"StochOptForest
(apx-soln)",yes,1.9997149432274344
100,0.1,"StochOptForest
(apx-soln)",yes,2.2343553215747525
100,0.1,"StochOptForest
(apx-soln)",yes,2.996933722980635
100,0.1,"StochOptForest
(apx-soln)",yes,1.9299123104981206
100,0.1,"StochOptForest
(apx-soln)",yes,2.178688978861428
100,0.1,"StochOptForest
(apx-soln)",yes,1.9143888641327051
100,0.1,"StochOptForest
(apx-soln)",yes,2.917728665133106
100,0.1,"StochOptForest
(apx-soln)",yes,4.298280045835573
100,0.1,"StochOptForest
(apx-soln)",yes,2.390158831154569
100,0.1,"StochOptForest
(apx-soln)",no,1.921112952879758
100,0.1,"StochOptForest
(apx-soln)",no,3.1341176997363123
100,0.1,"StochOptForest
(apx-soln)",no,2.5468452435881477
100,0.1,"StochOptForest
(apx-soln)",no,4.466833863599494
100,0.1,"StochOptForest
(apx-soln)",no,2.8852275852122693
100,0.1,"StochOptForest
(apx-soln)",no,3.165488023507129
100,0.1,"StochOptForest
(apx-soln)",no,4.076060962237857
100,0.1,"StochOptForest
(apx-soln)",no,2.363739340621782
100,0.1,"StochOptForest
(apx-soln)",no,2.4224651896662595
100,0.1,"StochOptForest
(apx-soln)",no,3.118413687037278
100,0.1,"StochOptForest
(apx-soln)",no,2.4803205522290126
100,0.1,"StochOptForest
(apx-soln)",no,5.9450455517743634
100,0.1,"StochOptForest
(apx-soln)",no,2.4523918404859835
100,0.1,"StochOptForest
(apx-soln)",no,2.6147568213197587
100,0.1,"StochOptForest
(apx-soln)",no,1.5429807844206185
100,0.1,"StochOptForest
(apx-soln)",no,2.7423116936985417
100,0.1,"StochOptForest
(apx-soln)",no,3.1798988795731162
100,0.1,"StochOptForest
(apx-soln)",no,3.632321097709945
100,0.1,"StochOptForest
(apx-soln)",no,2.9022263574040164
100,0.1,"StochOptForest
(apx-soln)",no,2.373853304568454
100,0.1,"StochOptForest
(apx-soln)",no,2.245712639222954
100,0.1,"StochOptForest
(apx-soln)",no,2.988384808174704
100,0.1,"StochOptForest
(apx-soln)",no,1.951751494128004
100,0.1,"StochOptForest
(apx-soln)",no,2.002776129594688
100,0.1,"StochOptForest
(apx-soln)",no,1.6330179391642587
100,0.1,"StochOptForest
(apx-soln)",no,2.570178223916529
100,0.1,"StochOptForest
(apx-soln)",no,3.035865182041641
100,0.1,"StochOptForest
(apx-soln)",no,2.778894687607929
100,0.1,"StochOptForest
(apx-soln)",no,2.327175485585216
100,0.1,"StochOptForest
(apx-soln)",no,1.8381605389949771
100,0.1,"StochOptForest
(apx-soln)",no,2.918524516960501
100,0.1,"StochOptForest
(apx-soln)",no,1.9910714309176891
100,0.1,"StochOptForest
(apx-soln)",no,2.7577823251196163
100,0.1,"StochOptForest
(apx-soln)",no,2.4661293461152094
100,0.1,"StochOptForest
(apx-soln)",no,2.700023997562243
100,0.1,"StochOptForest
(apx-soln)",no,2.551742488679821
100,0.1,"StochOptForest
(apx-soln)",no,3.018700225551684
100,0.1,"StochOptForest
(apx-soln)",no,1.8515491577752692
100,0.1,"StochOptForest
(apx-soln)",no,2.1785399532076344
100,0.1,"StochOptForest
(apx-soln)",no,2.969435661615551
100,0.1,"StochOptForest
(apx-soln)",no,3.6706611654169023
100,0.1,"StochOptForest
(apx-soln)",no,3.6357830963506252
100,0.1,"StochOptForest
(apx-soln)",no,3.333073155997167
100,0.1,"StochOptForest
(apx-soln)",no,2.9784108187371126
100,0.1,"StochOptForest
(apx-soln)",no,2.4555488077579097
100,0.1,"StochOptForest
(apx-soln)",no,2.5300185741998953
100,0.1,"StochOptForest
(apx-soln)",no,3.324490908864516
100,0.1,"StochOptForest
(apx-soln)",no,4.496167451036289
100,0.1,"StochOptForest
(apx-soln)",no,5.84762487155532
100,0.1,"StochOptForest
(apx-soln)",no,2.715712095705038
