Method,p,freq
"StochOptForest
(apx-soln)",1,0.3259259259259262
"StochOptForest
(apx-soln)",2,0.08888888888888886
"StochOptForest
(apx-soln)",3,0.05185185185185184
"StochOptForest
(apx-soln)",4,0.10370370370370367
"StochOptForest
(apx-soln)",5,0.08888888888888886
"StochOptForest
(apx-soln)",6,0.04444444444444444
"StochOptForest
(apx-soln)",7,0.037037037037037035
"StochOptForest
(apx-soln)",8,0.10370370370370367
"StochOptForest
(apx-soln)",9,0.06666666666666665
"StochOptForest
(apx-soln)",10,0.08888888888888886
"StochOptForest
(apx-risk)",1,0.25352112676056326
"StochOptForest
(apx-risk)",2,0.08450704225352114
"StochOptForest
(apx-risk)",3,0.06338028169014084
"StochOptForest
(apx-risk)",4,0.04929577464788732
"StochOptForest
(apx-risk)",5,0.0915492957746479
"StochOptForest
(apx-risk)",6,0.04929577464788732
"StochOptForest
(apx-risk)",7,0.10563380281690143
"StochOptForest
(apx-risk)",8,0.1126760563380282
"StochOptForest
(apx-risk)",9,0.09859154929577467
"StochOptForest
(apx-risk)",10,0.0915492957746479
RandForest,1,0.2089552238805969
RandForest,2,0.1791044776119402
RandForest,3,0.06716417910447761
RandForest,4,0.05970149253731343
RandForest,5,0.06716417910447761
RandForest,6,0.0970149253731343
RandForest,7,0.029850746268656716
RandForest,8,0.11194029850746265
RandForest,9,0.10447761194029848
RandForest,10,0.07462686567164178
GenRandForest,1,0.18978102189781018
GenRandForest,2,0.22627737226277364
GenRandForest,3,0.072992700729927
GenRandForest,4,0.0583941605839416
GenRandForest,5,0.08029197080291971
GenRandForest,6,0.08029197080291971
GenRandForest,7,0.08029197080291971
GenRandForest,8,0.0656934306569343
GenRandForest,9,0.0656934306569343
GenRandForest,10,0.08029197080291971
"StochOptForest
(oracle)",1,0.33582089552238814
"StochOptForest
(oracle)",2,0.11194029850746265
"StochOptForest
(oracle)",3,0.04477611940298507
"StochOptForest
(oracle)",4,0.04477611940298507
"StochOptForest
(oracle)",5,0.03731343283582089
"StochOptForest
(oracle)",6,0.0970149253731343
"StochOptForest
(oracle)",7,0.05970149253731343
"StochOptForest
(oracle)",8,0.04477611940298507
"StochOptForest
(oracle)",9,0.04477611940298507
"StochOptForest
(oracle)",10,0.1791044776119402
